product_name,price_2026-01-10,price_2026-02-10,price_2026-03-10,price_2026-07-10,url
BANAN KQ,3.19,3.49,3.39,2.99,https://bazarstore.az/products/banan-kq
SİYƏZƏN D.T TƏZƏ FİLE AÇIQ KQ,7.29,7.29,7.29,7.29,https://bazarstore.az/products/siyezen-teze-file-aciq-kg
SOĞAN YERLİ KQ,0.49,0.49,0.49,0.69,https://bazarstore.az/products/sogan-yerli%CC%87-kq
SUN SALFET 150 Lİ MAXI,1.1,0.99,0.99,1.15,https://bazarstore.az/products/sun-salfet-150-li-maxi
POMİDOR MUÇO KQ,2.99,4.69,6.99,1.39,https://bazarstore.az/products/pomi%CC%87dor-muco-kq
MƏRCAN TƏZƏ TOYUQ PAKET KQ,5.99,6.49,6.29,6.39,https://bazarstore.az/products/m%C9%99rcan-t%C9%99z%C9%99-toyuq-paket-kq
"MİLLA SÜD 1 L 3,2% YAĞLI",2.8,2.8,2.89,2.89,https://bazarstore.az/products/milla-sud-1-l-3-2-yagli
ÇÖRƏKÇİ BATON ÇÖRƏYİ 400 Q EKSTRA,1.0,1.0,1.15,1.15,https://bazarstore.az/products/corekci-baton-coreyi-400-q-ekstra
SUN BAKERY SİMİT D/Q,0.79,0.85,0.85,0.85,https://bazarstore.az/products/sun-bakery-simit-d-q
ALMA SMİRİNKA ENDİRİMLİ KQ,2.49,2.99,3.49,3.29,https://bazarstore.az/products/alma-smi%CC%87ri%CC%87nka-endi%CC%87ri%CC%87mli%CC%87-kq
DOMESTOS TUALET TEMİZ GEL 750 ML AĞ,3.19,4.75,4.75,3.29,https://bazarstore.az/products/domestos-tualet-temiz-gel-750-ml-ag
VENDS PİNQVİN PAKET 40 LI 25X35,0.99,0.99,0.99,0.99,https://bazarstore.az/products/vends-pinqvin-paket-40-li
DOYMAK UN 2 KQ,3.15,3.15,3.39,3.4,https://bazarstore.az/products/doymak-un-2-kq
ALMA QIRMIZI YERLİ  KQ,0.79,0.89,1.39,1.99,https://bazarstore.az/products/alma-qirmizi-yerli%CC%87-kq
AZƏRSÜD KƏND QATIĞI 1 KQ,3.69,3.69,2.99,3.19,https://bazarstore.az/products/azersud-kend-qatigi-1-kq
SULTAN BASMATİ DÜYÜ 1 KQ BANKA,4.49,5.65,5.65,4.99,https://bazarstore.az/products/sultan-basmati-duyu-1-kq-banka
SİRAB SU 1 L QAZSIZ,0.9,0.9,0.79,1.0,https://bazarstore.az/products/sirab-su-1-l-qazsiz
AURA MƏTBƏX DƏSMALI 4 ƏDƏD,9.1,9.1,7.49,5.69,https://bazarstore.az/products/aura-metbex-desmali-4-lu
QAYMAQ KƏND QATIĞI 870 Q 3.2 %,4.1,4.1,4.1,4.1,https://bazarstore.az/products/qaymaq-kend-qatigi-870-q-3-2
SİRAB SU 1.5 L QAZLI,1.25,1.25,1.25,1.4,https://bazarstore.az/products/sirab-su-1-5-l-qazli
YURDUM KƏSMİK KQ,7.29,7.85,7.99,7.99,https://bazarstore.az/products/azersud-yurdum-k%C9%99smi%CC%87k-kg
KARTOF PAKET EDED,4.69,5.19,5.19,4.49,https://bazarstore.az/products/kartof-paket-eded
BONDUELLE ŞİRİN QARĞIDALI 212 Q TNK,2.99,2.99,2.99,2.69,https://bazarstore.az/products/bonduelle-sirin-qargidali-212-q-tnk
SİRAB SU 1.5 L QAZSIZ,0.95,0.9,1.05,1.2,https://bazarstore.az/products/sirab-su-1-5-l-qazsiz
SUN BAKERY BATON ÇÖRƏYİ ADİ,0.75,0.79,0.69,0.69,https://bazarstore.az/products/sun-bakery-adi%CC%87-baton-cor%C9%99yi%CC%87
"MİLLA SÜD AZ YAĞLI 1,5% 1 LT",2.6,2.29,2.69,2.69,https://bazarstore.az/products/milla-sud-1-l-az-yagli-1-5
SIRAB SU 1 L QAZLI,1.0,1.0,1.0,1.2,https://bazarstore.az/products/sirab-su-1-l-qazli
AURA MƏTBƏX DƏSMALI 2 ƏDƏD,4.7,4.7,4.7,4.99,https://bazarstore.az/products/aura-metbex-desmali-2-li
PATRON GÜNƏBAXAN TUMU QARA 110 Q 4D,0.89,0.89,1.19,1.19,https://bazarstore.az/products/patron-gunebaxan-tumu-qara-110-q-4d
BONAQUA SU 2 L QAZLI,1.0,1.0,1.0,1.1,https://bazarstore.az/products/bonaqua-su-2-l-qazli
COCA COLA 330 ML BANKA,1.4,1.4,1.4,1.4,https://bazarstore.az/products/coca-cola-330-ml-banka
SİRAB SU 500 ML QAZSIZ PET,0.6,0.6,0.6,0.7,https://bazarstore.az/products/sirab-su-500-ml-qazsiz-pet
KENT BORINGER QABARTMA TOZU 10 Q,0.15,0.13,0.13,0.12,https://bazarstore.az/products/kent-boringer-qabartma-tozu-10-q
SIRAB SU 500 ML QAZLI ŞÜŞƏ,1.3,1.3,1.3,1.4,https://bazarstore.az/products/sirab-su-500-ml-qazli-suse
SUN BAKERY BULKA SADƏ D/Q,0.59,0.65,0.65,0.69,https://bazarstore.az/products/sun-bakery-bulka-sade-d-q
"MİLLA SÜD 0,1% 1 LT",2.5,2.5,2.59,2.59,https://bazarstore.az/products/milla-sud-1-l-0-1
SİRAB SU 330 ML QAZSIZ,0.5,0.5,0.5,0.5,https://bazarstore.az/products/sirab-su-330-ml-qazsiz
BORJOMI SODA 1 L PET,2.69,2.69,2.09,2.69,https://bazarstore.az/products/borjomi-soda-1-l-pet
